Simulacao,Melhor Valor Encontrado,Gerações para Convergência,Avaliações Função Objetivo (Total),Multiplicações (Total),Divisões (Total),Avaliações (no Melhor Global),Multiplicações (no Melhor Global),Divisões (no Melhor Global)
1,-443.54475055994374,200,2590,202772,26455,1890,147580,19255
2,-415.48549079403136,200,1540,120032,15655,840,64798,8455
3,-498.96929181245355,200,2905,227640,29695,2205,172452,22495
4,-395.8175975967325,200,1365,106182,13855,665,51004,6655
5,-462.0220005777285,200,1785,139250,18175,1085,84090,10975
6,-496.63988120091307,200,1995,155892,20335,1295,100686,13135
7,-497.5150325141497,200,2030,158594,20695,1330,103416,13495
8,-401.22273915411,200,1435,111702,14575,735,56502,7375
9,-472.45993915768344,200,1470,114470,14935,770,59290,7735
10,-308.0667847327948,200,1120,86860,11335,420,31676,4135
11,-493.7701768955535,200,1680,131010,17095,980,75846,9895
12,-240.03103224240746,200,735,56516,7375,35,1330,175
13,-498.56292136278034,200,3290,257978,33655,2590,202756,26455
14,-488.9159703110538,200,1330,103444,13495,630,48240,6295
15,-497.0417303218286,200,1260,97928,12775,560,42756,5575
16,-254.49829229295779,200,1330,103472,13495,630,48264,6295
17,-488.7787773182235,200,1785,139316,18175,1085,84138,10975
18,-468.77168008488593,200,2520,197282,25735,1820,142116,18535
19,-455.86878165639644,200,1085,84136,10975,385,28936,3775
20,-416.07446768212867,200,1575,122746,16015,875,67550,8815
